jop_title,Company,address,jop_type
Sales Trainer (Cairo),OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full Time
Structural technical office engineer,TECTRA -,"6th of October, Giza, Egypt ",Full Time
iOS Developer,Madar Soft -,"Fleming, Alexandria, Egypt ",Full Time
Architecture Technical Office Engineer,Solik Real Estate Investment  -,"Alexandria, Egypt ",Full Time
Senior UI UX Designer,Madar Soft -,"Fleming, Alexandria, Egypt ",Full Time
Procurement Buyer,GB Corp -,"Abu Rawash, Giza, Egypt ",Full Time
Junior AP Accountant,oworkers -,"Maadi, Cairo, Egypt ",Full Time
Lawyer,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Archivist,Emak Contracting Company - Kharafi Group  -,"Nasr City, Cairo, Egypt ",Full Time
Interior & Exterior Designer,Lines for construction and real sate  -,"Sheikh Zayed, Giza, Egypt ",Full Time
Administrative Assistant,Leverage -,"Maadi, Cairo, Egypt ",Full Time
Senior Mechanical Quality Control Engineer,Rowad Modern Engineering -,"Cairo, Egypt ",Full Time
Mechanical Design Engineer HVAC,Acacia for engineering services -,"New Cairo, Cairo, Egypt ",Full Time
Direct Sales (Open Day),Tasaheel Finance  -,"Cairo, Egypt ",Full Time
Account Manager,Targo -,"New Cairo, Cairo, Egypt ",Full Time
architecture technical office engineer,TECTRA -,"6th of October, Giza, Egypt ",Full Time
Steel Structural Engineer,ATLAS Building Construction -,"Sheikh Zayed, Giza, Egypt ",Full Time
Planning Section Head,Royal Herbs  -,"Haram, Giza, Egypt ",Full Time
Executive Assistant to Chief Executive Officer,Confidential -,"Cairo, Egypt ",Full Time
HSE Specialist,Pharco Corporation -,"Ameria, Alexandria, Egypt ",Full Time
Tax Accountant Supervisor,Matana Group -,"Cairo, Egypt ",Full Time
Accountant,Samena Group -,"Heliopolis, Cairo, Egypt ",Full Time
B2B sales manager /Business Development Manager,El Teriak Industrial Group -,"Cairo, Egypt ",Full Time
Senior Technical Office Architecture,United Engineering For Construction (UECC) -,"Giza, Egypt ",Full Time
Foreign purchasing supervisor,El Teriak Industrial Group -,"Zamalek, Cairo, Egypt ",Full Time
Spanish Speakers,Xceed Contact Center -,"6th of October, Giza, Egypt ",Full Time
Training And Development Specialist,Outsourcing Skill -,"Maadi, Cairo, Egypt ",Full Time
Master Service Advisor,Nour Eldin Elsherif for Trading vehicles -,"Smouha, Alexandria, Egypt ",Full Time
Accountant,Accounting hub -,"Giza, Egypt ",Full Time
Mechanical Production Engineer,Confidential -,"Badr City, Cairo, Egypt ",Full Time
Technical Office Manager,Rekaz Developments -,"Cairo, Egypt ",Full Time
Customer Service Advisor,Raya Customer Experience -,"6th of October, Giza, Egypt ",Full Time
Recruiter,Hulk Security & Facility Management -,"Cairo, Egypt ",Full Time
Office Manager,Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time
